NR_VOTAVEL,DS_CARGO,DS_SIT_TOT_TURNO,RECEITA_TOTAL,QTD_VOTOS,CUSTO_VOTO,VR_TOTAL_BEM_CANDIDATO,Recursos_partido,Recursos_proprios,Recursos_outros_candidatos,Recursos_pessoas_fisicas,Rendimentos_aplicacoes,Financiamento_Coletivo,origens_nao_identificadas,Comercio_bens_ou_eventos,Doacoes_Internet,0.000000000,0.000000000,0.000000000,0,0
15232,DEPUTADO ESTADUAL,ELEITO POR QP,0.102336578218,0.02561335573,0.003069187,0.062559500,0.110780413,0.004109042,0.072790370,0.019897527,-0.002063099,-0.000198576,-0.003025794,#DIV/0!,,,,,,
4417,DEPUTADO FEDERAL,NÃO ELEITO,0.014370039043,0.02524061394,0.000427355,-0.000000031,0.017827447,-0.000000945,-0.000132548,-0.000001775,-0.002063099,-0.000198576,-0.003025794,#DIV/0!,,,,,,
10123,DEPUTADO ESTADUAL,ELEITO POR QP,0.022420845404,0.02437574874,0.000697458,-0.000000031,0.016804189,-0.000000945,0.085428792,-0.000001775,-0.002063099,-0.000198576,-0.003025794,#DIV/0!,,,,,,
11300,DEPUTADO ESTADUAL,ELEITO POR QP,0.038353672005,0.02425323920,0.001208065,0.005651299,0.015501861,0.082198795,0.128498958,-0.000001775,-0.002063099,0.002259597,-0.003025794,#DIV/0!,,,,,,
11555,DEPUTADO ESTADUAL,ELEITO POR QP,0.044494208573,0.02414376260,0.001409717,0.008639610,0.027129792,0.106668458,0.061472002,0.000049685,-0.002063099,-0.000198576,-0.003025794,#DIV/0!,,,,,,
25222,DEPUTADO ESTADUAL,ELEITO POR QP,0.113560023410,0.02404419101,0.003631594,0.007876522,0.124029215,0.041098925,0.060116401,0.004382864,-0.002063099,-0.000198576,-0.003025794,#DIV/0!,,,,,,
45555,DEPUTADO ESTADUAL,ELEITO POR QP,0.107415768095,0.02351870330,0.003511342,0.003021821,0.087110535,-0.000000945,0.354120908,0.001799325,-0.002063099,-0.000198576,-0.003025794,#DIV/0!,,,,,,
900,SENADOR,NÃO ELEITO,0.023882531790,0.02331643223,0.000777009,0.003598530,0.026354597,-0.000000945,0.025292509,-0.000001775,-0.002063099,-0.000198576,-0.003025794,#DIV/0!,,,,,,
25000,DEPUTADO ESTADUAL,ELEITO POR QP,0.061939127771,0.02308183950,0.002057225,0.000107736,0.015501861,-0.000000945,0.017403511,0.196060860,-0.002063099,-0.000198576,-0.003025794,#DIV/0!,,,,,,
4033,DEPUTADO FEDERAL,SUPLENTE,0.176370548017,0.02275445231,0.005968172,0.009099693,0.203254968,-0.000000945,-0.000132548,0.051458234,-0.002063099,-0.000198576,-0.003025794,#DIV/0!,,,,,,
77077,DEPUTADO ESTADUAL,ELEITO POR QP,0.068991272394,0.02205275938,0.002401329,0.061758228,0.062013584,0.068224839,0.047500512,0.015148051,-0.002063099,-0.000198576,-0.003025794,#DIV/0!,,,,,,
11011,DEPUTADO ESTADUAL,ELEITO POR QP,0.095393236013,0.02182025192,0.003359641,0.031309327,0.099457382,0.036166941,0.007388088,0.036731923,-0.002063099,0.000827708,-0.003025794,#DIV/0!,,,,,,
5152,DEPUTADO FEDERAL,SUPLENTE,0.027411890348,0.02123898326,0.000982362,0.036617870,-0.000002047,0.180256494,-0.000132548,-0.000001775,0.134133181,-0.000198576,-0.003025794,#DIV/0!,,,,,,
22123,DEPUTADO ESTADUAL,ELEITO POR QP,0.040870018837,0.02101221029,0.001487418,0.098014237,0.046509677,0.022192985,-0.000132548,-0.000001775,-0.002063099,-0.000198576,-0.003025794,#DIV/0!,,,,,,
1344,DEPUTADO FEDERAL,SUPLENTE,0.052664384843,0.02087823178,0.001933273,0.006160823,0.054836050,0.001026551,0.003482389,0.032623870,-0.002063099,-0.000198576,-0.003025794,#DIV/0!,,,,,,
50180,DEPUTADO ESTADUAL,ELEITO POR QP,0.007235760733,0.02042207924,0.000260853,-0.000000031,0.004229914,-0.000000945,-0.000132548,0.004256870,-0.002063099,0.460752645,-0.003025794,#DIV/0!,,,,,,
40640,DEPUTADO ESTADUAL,ELEITO POR QP,0.041670598226,0.02034700957,0.001566969,0.007873371,0.001618910,0.024658977,0.030784682,0.133690814,-0.002063099,0.154302565,-0.003025794,#DIV/0!,,,,,,
14000,DEPUTADO ESTADUAL,ELEITO POR QP,0.055429922735,0.02018070939,0.002107175,0.047245052,0.007749907,0.090677238,0.175027871,0.070910632,-0.002063099,-0.000198576,-0.003025794,#DIV/0!,,,,,,
11211,DEPUTADO ESTADUAL,ELEITO POR QP,0.109367812857,0.01949830520,0.004314252,0.003200251,-0.000002047,0.008219029,1.000000000,0.018000361,-0.002063099,-0.000198576,-0.003025794,#DIV/0!,,,,,,
11200,DEPUTADO ESTADUAL,ELEITO POR QP,0.067568529729,0.01949100676,0.002662182,0.103976246,0.015501861,0.284327958,0.014295871,0.040909061,-0.002063099,0.066075792,-0.003025794,#DIV/0!,,,,,,
7000,DEPUTADO FEDERAL,SUPLENTE,0.122694956445,0.01948058041,0.004847059,0.185739221,0.150230819,0.010356222,-0.000132548,-0.000001775,-0.002063099,-0.000198576,-0.003025794,#DIV/0!,,,,,,
11400,DEPUTADO ESTADUAL,ELEITO POR QP,0.056718756752,0.01906926116,0.002282928,0.069893745,0.031005769,0.123298666,0.124932220,-0.000001775,-0.002063099,-0.000198576,-0.003025794,#DIV/0!,,,,,,
11400,DEPUTADO ESTADUAL,#NULO#,0.001426298912,0.01906926116,0.000044401,0.067414461,-0.000002047,0.009410925,-0.000132548,-0.000001775,-0.002063099,-0.000198576,-0.003025794,#DIV/0!,,,,,,
1133,DEPUTADO FEDERAL,SUPLENTE,0.226229921250,0.01893736791,0.009203861,1.000000000,0.278150461,-0.000000945,-0.000132548,0.008129086,-0.002063099,-0.000198576,-0.003025794,#DIV/0!,,,,,,
22222,DEPUTADO ESTADUAL,ELEITO POR QP,0.039432469933,0.01859538384,0.001622470,0.022317468,0.046509677,0.000009905,0.018528239,-0.000001775,-0.002063099,-0.000198576,-0.003025794,#DIV/0!,,,,,,
2222,DEPUTADO FEDERAL,SUPLENTE,0.227244876726,0.01842960498,0.009499865,0.042235905,0.279068292,0.014795008,-0.000132548,-0.000001775,-0.002063099,-0.000198576,-0.003025794,#DIV/0!,,,,,,
40500,DEPUTADO ESTADUAL,ELEITO POR QP,0.049719275839,0.01835922716,0.002077575,0.010547474,0.000954106,0.168754251,0.195107785,0.012503007,-0.002063099,-0.000198576,-0.003025794,#DIV/0!,,,,,,
14114,DEPUTADO ESTADUAL,ELEITO POR MÉDIA,0.064054569908,0.01834723686,0.002680682,0.001380451,-0.000002047,0.032878951,0.240863247,0.140214682,-0.002063099,-0.000198576,-0.003025794,#DIV/0!,,,,,,
