"SQ_CANDIDATO";"NM_VOTAVEL";"NR_VOTAVEL";"SITUCAO";"DS_CARGO";"CARGO_N";"SITUCAO_N";"RECEITA_TOTAL";"QTD_VOTOS";"CUSTO_VOTO";"VR_TOTAL_BEM_CANDIDATO";"Recursos_partido";"Recursos_proprios";"Recursos_outros_candidatos";"Recursos_pessoas_fisicas";"Rendimentos_aplicacoes";"Financiamento_Coletivo";"origens_nao_identificadas";"Comercio_bens_ou_eventos";"Doacoes_Internet";"DESPESA_CONTRATADA"
170000617016;AUGUSTO CESAR ELIHIMAS DE CARVALHO;14123;SUPLENTE;DEPUTADO ESTADUAL;0.7000;0.5000;0.0103948;0.0027159;0.00038273868699142087;0.0343622456;0.005;;0.053948;;;;;;;0.009983515
170000607398;JAILTON DE MELO ELIAS;50033;SUPLENTE;DEPUTADO ESTADUAL;0.7000;0.5000;0.000589;0.0001544;0.0003814766839378238;0.0003;0.000529;;;0.00006;;;;;;0.0004
170000617432;FRANCISCO EURICO DA SILVA;5151;ELEITO POR QP;DEPUTADO FEDERAL;0.6000;0.2000;0.0475;0.0125025;0.0003799240151969606;0.0058;0.03115;0.0018;0.1;0.00455;;;;;;0.042773141
170000628871;ALBERES ALVES DE MELO FILHO;11034;SUPLENTE;DEPUTADO ESTADUAL;0.7000;0.5000;0.00007896;0.0000209;0.00037779904306220095;0.00069;;0.000003959999999999999;;0.000075;;;;;;0.000003959999999999999
170000603092;CASIMIRO ULISSES DE OLIVEIRA E SILVA;20444;SUPLENTE;DEPUTADO ESTADUAL;0.7000;0.5000;0.0012952380000000002;0.0003467;0.00037359042399769257;0.0028667995999999995;;0.0012952380000000002;;;;;;;;0.001294728
170000603114;FÁBIO FIRMINO CABRAL;27777;SUPLENTE;DEPUTADO ESTADUAL;0.7000;0.5000;0.000279;0.0000748;0.0003729946524064171;0.001604065;0.00026;;0.00019;;;;;;;0.0002
170000614070;MARCANTONIO DOURADO FILHO;11777;SUPLENTE;DEPUTADO ESTADUAL;0.7000;0.5000;0.0104;0.0028513;0.00036474590537649494;0.000029363699999999998;;;0.08;0.0024;;;;;;0.00999838
170000603107;FABIO LISANDRO DE LIMA BARROS;20123;SUPLENTE;DEPUTADO ESTADUAL;0.7000;0.5000;0.006381398999999999;0.0017758;0.0003593534744903705;0.0186652694;;0.0055339989999999995;0.001974;0.00065;;;;;;0.005883954
170000603108;ANTONIO FERNANDO DE AQUINO BEZERRA;20333;ELEITO POR QP;DEPUTADO ESTADUAL;0.7000;0.2000;0.009686525;0.0027605;0.0003508974823401558;0.00358;;0.002287525;0.045;0.002899;;;;;;0.007906645
170000617179;REGINALDO DA SILVA GOMES;28100;SUPLENTE;DEPUTADO ESTADUAL;0.7000;0.5000;0.0002;0.0000574;0.0003484320557491289;;;;0.002;;;;;;;0.0005
